question,label,tag
ada layanan buat periksa mata gak di puskesmas,layanan,mata
cek mata di puskesmas bisa tidak,layanan,mata
apa bisa cek mata minus gitu di puskesmas,layanan,mata
bisa periksa mata di puskesmas keputih tidak,layanan,mata
di puskesmas ada seperti optik gitu gak,layanan,mata
bisa periksa mata gak di puskesmas?,layanan,mata
melayani pemeriksaan mata min gitu gak,layanan,mata
cek kesehatan mata bisa gak,layanan,mata
ada dokter spesialis mata tidak ya di puskesmas?,layanan,mata
periksa mata di puskesmas keputih bisa?,layanan,mata
apa tidak ada dokter mata di puskesmas keputih?,layanan,mata
di puskesmas ada poli yang buat nanya permasalahan kulit wajah gitu ga sih?,layanan,spkk
Apakah ada SpKK di Puskesmas Keputih,layanan,spkk
ada spesialis kulit apa tidak di puskesmas,layanan,spkk
bisa konsultasi ke dokter kulit ga di puskesmas,layanan,spkk
ada spkk di puskesmas keputih?,layanan,spkk
mau konsultasi kulit ke spkk bisa ke puskesmas keputih?,layanan,spkk
ada praktek dokter kulit?,layanan,spkk
bisa konsultasi masalah kulit wajah di puskesmas?,layanan,spkk
ada spkk gak di puskesmas?,layanan,spkk
konsul sama dokter kulit bisa gak ya?,layanan,spkk
gak ada dokter kulit ya d puskesmas?,layanan,spkk
apa tidak ada spkk di puskesmas keputih?,layanan,spkk
konsul sama dokter spkk ada gak di puskesmas,layanan,spkk
"saya ada masalah kulit gitu, di puskesmas ada spkk gak",layanan,spkk
Saya mau konsul masalah kulit wajah di puskesmas bisa? Ada spkk apa tidak,layanan,spkk
Di puskesmas ada dokter khusus spesialis kulit apa tidak,layanan,spkk
utk pemberian vitamin A di puskesmas bisa hari apa ya?,layanan,vitamin a
jadwal pembagian vit a kapan,layanan,vitamin a
vitamin a buat balita diberikan kapan,layanan,vitamin a
bisa minta vitamin a buat anak,layanan,vitamin a
jadwal pembagian vitamin a setiap bulan apa aja,layanan,vitamin a
jadwal pemberian vit a buat anak tiap bulan apa,layanan,vitamin a
mau ambil vitamin a buat anak bisa langsung ke puskesmas?,layanan,vitamin a
vitamin a balita bisa langsung diambil apa ada jadwalnya?,layanan,vitamin a
mau minta vit a buat anak bisa?,layanan,vitamin a
pemeriksaan calon pengantin bisa?,layanan,catin
"Kalo bukan asli surabaya dan tidak menikah di surabaya, untuk yg laki² nya saja bisa ngurus disini ndak yaa??",layanan,catin
mau pemeriksaan pra nikah di puskesmas bisa?,layanan,catin
pemeriksaan pra nikah gitu apa aja pemeriksaannya,layanan,catin
screening pra nikah apa aja ya pemeriksaannya,layanan,catin
tes kesehatan calon pengantin bisa ke puskesmas?,layanan,catin
mau tes kesehatan sebelum menikah apa bisa,layanan,catin
tes kesehatan buat persyaratan menikah bisa ke puskesmas?,layanan,catin
pemeriksaan kesehatan calon pengantin di puskesmas bisa?,layanan,catin
screening kesehatan calon pengantin apa saja,layanan,catin
mau konsul pra nikah bisa?,layanan,catin
layanan catin di puskesmas apa aja,layanan,catin
melayani tes kesehatan buat catin gitu gak,layanan,catin
screening kesehatan pra nikah,layanan,catin
pemeriksaan kesehatan catin,layanan,catin
periksa kesehatan buat calon pengantin ada,layanan,catin
cek kesehatan calon pengantin di puskesmas apakah bisa,layanan,catin
periksa kehamilan jam segini masih bisa ya,layanan,kia
poli kia melayani apa saja?,layanan,kia
Bisa usg di puskesmas?,layanan,kia
periksa buat ibu hamil bisa kan ya,layanan,kia
mau kontrol kehamilan bisa?,layanan,kia
melayani usg apa tidak,layanan,kia
melayani pemeriksaan kehamilan kan ya,layanan,kia
ada praktek dokter kandungan?,layanan,kia
mau periksa kandungan ibu hamil ,layanan,kia
melayani usg kehamilan ya?,layanan,kia
mau pemeriksaan ibu hamil bisa?,layanan,kia
kontrol kondisi kehamilan bisa ya di puskesmas?,layanan,kia
usg di puskesmas bisa apa tidak,layanan,kia
melayani usg kandungan?,layanan,kia
cek kesehatan ibu hamil gitu di pelayanan apa?,layanan,kia
usg ibu hamil biayanya berapa ya kalau di puskesmas keputih,biaya,tarif kia
tarif buat pemeriksaan kehamilan biasanya berapa?,biaya,tarif kia
harga buat usg kehamilan kena berapa,biaya,tarif kia
pemeriksaan kehamilan tarifnya berapa?,biaya,tarif kia
tarif buat usg di puskesmas biasanya berapa,biaya,tarif kia
tarif pemeriksaan di dokter kandungan berapa,biaya,tarif kia
periksa kandungan bayarnya berapa,biaya,tarif kia
usg bumil tarifnya biasanya berapa,biaya,tarif kia
pemeriksaan ibu hamil bayarnya berapa,biaya,tarif kia
biaya persalinan gitu berapa ya di puskesmas?,biaya,tarif kia
melayani persalinan normal kan di puskesmas? Kira kira biayanya berapa?,biaya,tarif kia
usg kehamilah tarifnya berapa?,biaya,tarif kia
pemeriksaan kehamilan di puskesmas bayar berapa kisarannya,biaya,tarif kia
usg buat ibu hamil harganya berapa di puskesmas?,biaya,tarif kia
mau usg di puskesmas tarifnya kisaran berapa?,biaya,tarif kia
tarif pemeriksaan kehamilan biasanya berapa,biaya,tarif kia
Bisa melayani KB apa saja?,layanan,kb
mau suntik KB bisa gk ya di puskesmas,layanan,kb
kalo mau konsul dulu gitu buat KB apa bisa ya?,layanan,kb
bisa pasang KB apa aja,layanan,kb
bisa implant KB gak?,layanan,kb
di puskesmas melayani pemasangan KB apa saja,layanan,kb
mau pasang KB bisa?,layanan,kb
melayani suntik KB kan ya?,layanan,kb
mau pasang IUD gitu bisa di puskesmas?,layanan,kb
pasang spiral bisa di puskesmas keputih?,layanan,kb
KB spiral ada gak ya di puskesmas?,layanan,kb
melayani pemasangan jenis KB apa aja,layanan,kb
mau konsultasi KB di puskesmas boleh?,layanan,kb
mau pasang kb tapi konsul dulu gitu bisa?,layanan,kb
mau implan kb bisa?,layanan,kb
pasang KB di puskesmas bisa ya,layanan,kb
puskesmas bisa suntik KB,layanan,kb
mau cabut KB implant bisa apa tidak,layanan,kb
melayani lepas kb IUD?,layanan,kb
saya mau lepas KB spiral di puskesmas bisa?,layanan,kb
bisa melayani lepas atau pasang KB gak?,layanan,kb
melayani cabut KB implan?,layanan,kb
pasang kb bayarnya berapa,biaya,tarif kb
suntik kb tarifnya berapa?,biaya,tarif kb
tarif kb,biaya,tarif kb
mau pasang kb di puskesmas biayanya berapa,biaya,tarif kb
pasang kb spiral harganya kisaran berapa,biaya,tarif kb
pasang kb bisa ditanggung bpjs apa tidak,biaya,tarif kb
suntik kb harganya kisaran berapa,biaya,tarif kb
mau KB implan harganya berapa?,biaya,tarif kb
pil kb harganya berapa ya?,biaya,tarif kb
kb di puskesmas harganya kisaran ,biaya,tarif kb
kb tarifnya berapa ya,biaya,tarif kb
bisa lepas kb impant kira kira tarifnya berapa,biaya,tarif kb
cabut kb IUD berapa,biaya,tarif kb
pemasangan kb implan biayanya berapa,biaya,tarif kb
mau ngelepas kb spiral di puskesmas bayar berapa?,biaya,tarif kb
suntik kb gitu bayar berapa kalau di puskesmas?,biaya,tarif kb
tarif buat pasang/lepas kb berapa di puskesmas?,biaya,tarif kb
pelayanan pemasangan kb bayarnya kisaran berapa?,biaya,tarif kb
Apa bisa akupuntur di puskesmas?,layanan,tradisional
ada akupuntur ya di puskesmas,layanan,tradisional
apa melayani akupuntur di puskesmas,layanan,tradisional
mau terapi akupuntur bisa?,layanan,tradisional
bisa terapi akupuntur?,layanan,tradisional
pijat bayi gitu bisa gak ya di puskesmas?,layanan,tradisional
mau terapi jarum akupuntur bisa di puskesmas?,layanan,tradisional
terapi pijat wajah ada ya di puskesmas?,layanan,tradisional
melayani akupresure wajah di puskesmas keputih?,layanan,tradisional
ada melayani pembelian jamu herbal tidak?,layanan,tradisional
pijat buat bayi di puskesmas bisa?,layanan,tradisional
pijat terapi buat anak bayi ada?,layanan,tradisional
bisa melayani akupresure ya?,layanan,tradisional
melayani pengobatan tradisional di puskesmas?,layanan,tradisional
Mau ke puskesmas buat minta pengobatan tradisional bisa ya,layanan,tradisional
Melayani pijat untuk anak bayi gak di puskesmas?,layanan,tradisional
di lab puskesmas melayani pemeriksaan apa aja?,lab,laboratorium
di puskesmas keputih laboratoriumnya melayani pemeriksaan apa aja,lab,laboratorium
pemeriksaan di lab puskesmas apa saja,lab,laboratorium
lab puskesmas bisa periksa apa saja,lab,laboratorium
pemeriksaan di laboratorium bisa?,lab,laboratorium
cek lab bisa?,lab,laboratorium
pemeriksaan kesehatan di laboratorium puskesmas bisa?,lab,laboratorium
Bisa pemeriksaan apa aja di lab puskesmas keputih,lab,laboratorium
Lab puskesmas keputih bisa melayani pemeriksaan apa aja,lab,laboratorium
di laboratorium puskesmas bisa cek kesehatan apa saja,lab,laboratorium
Di lab melayani pemeriksaan apa aja,lab,laboratorium
Ada pelayanan pemeriksaan apa aja di lab puskesmas keputih,lab,laboratorium
Bisa periksa apa aja di laboratorium,lab,laboratorium
puskesmas keputih bisa cek lab apa saja,lab,laboratorium
Di laboratorium bisa cek apa saja,lab,laboratorium
kalo pengen cek ke puskesmas kita anemia atau ngga,lab,cek darah
cek tensi darah gitu bisa ya di puskesmas? Gimana caranya?,lab,cek darah
tes tekanan darah gitu bisa di lab puskesmas?,lab,cek darah
pengen periksa darah rutinan bisa di puskesmas?,lab,cek darah
cek darah buat tau tensinya bisa?,lab,cek darah
pemeriksaan darah rutin di puskesmas keputih bisa?,lab,cek darah
mau cek tekanan darah harus kemana?,lab,cek darah
melayani pemeriksaan darah di lab?,lab,cek darah
cek trombosit di laboratorium puskesmas bisa?,lab,cek darah
cek biar tau hipertensi apa gak gitu bisa?,lab,cek darah
cek hb,lab,cek darah
mau cek tensi darah,lab,cek darah
tes hb darah bisa?,lab,cek darah
kalau mau tes kesehatan kayak tensi aja gitu bayar nggk ya di puskesmas?,biaya,tarif cek darah
cek lab gitu bayar gak ya di puskesmas?,biaya,tarif cek darah
tes kesehatan kyk tensi biayanya berapa ya,biaya,tarif cek darah
tarif buat cek lab di puskesmas berapa?,biaya,tarif cek darah
pemeriksaan hb gitu gitu bayar berapa ya kira2,biaya,tarif cek darah
tarif buat pemeriksaan darah berapa?,biaya,tarif cek darah
mau tes darah kyak anemia hipertensi gitu bayar berapa ya,biaya,tarif cek darah
cek gula darah kena biaya berapa?,biaya,tarif cek darah
cek kesehatan tensi gitu bayarnya berapa,biaya,tarif cek darah
cek hb di lab puskesmas bayar berapa,biaya,tarif cek darah
pemeriksaan di lab gitu bayar gak ya,biaya,tarif cek darah
pemeriksaan darah rutin bayar apa gratis?,biaya,tarif cek darah
"periksa cek lab kayak cek darah, diabet, kolestrol bayar gak? Kalau bayar biasanya kena berapa",biaya,tarif cek darah
cek di laboratorium buat diabetes bayar berapa,biaya,tarif cek darah
cek kolesterol bisa?,lab,cek kimia klinik
mau cek gula darah di puskesmas bisa?,lab,cek kimia klinik
"melayani pemeriksaan diabet, asam urat gitu ngga",lab,cek kimia klinik
cek kadar gula darah di lab bisa?,lab,cek kimia klinik
melayani pemeriksaan cek kolesterol,lab,cek kimia klinik
bisa cek gula darah gitu gitu gak,lab,cek kimia klinik
cek lab buat kolesterol bisa,lab,cek kimia klinik
cek kandungan gula darah bisa ya?,lab,cek kimia klinik
pemeriksaan asam urat di lab bisa?,lab,cek kimia klinik
periksa di laboratorium buat cek kolesterol bisa?,lab,cek kimia klinik
melayani pemeriksaan asam urat?,lab,cek kimia klinik
mau cek gula bisa?,lab,cek kimia klinik
lab buat cek gula bisa ya?,lab,cek kimia klinik
mau cek kolestrol bisa di puskesmas?,lab,cek kimia klinik
mau periksa kadar lemak di lab bisa?,lab,cek kimia klinik
cek kolestrol di lab puskesmas keputih bisa?,lab,cek kimia klinik
bisa cek gula darah stick gak?,lab,cek kimia klinik
cek kolestrol bayar berapa?,biaya,tarif cek kimia klinik
cek kolesterol tarifnya berapa?,biaya,tarif cek kimia klinik
mau periksa gula darah stick bayarnya berapa,biaya,tarif cek kimia klinik
pemeriksaan kolesterol gula darah gitu bayarnya berapa?,biaya,tarif cek kimia klinik
cek asam urat di puskesmas tarifnya berapa,biaya,tarif cek kimia klinik
cek glukosa berapa ya bayarnya,biaya,tarif cek kimia klinik
bayar berapa buat pemeriksaan kolesterol?,biaya,tarif cek kimia klinik
pemeriksaan gula darah stick harganya berapa,biaya,tarif cek kimia klinik
mau cek kolesterol biasanya bayar berapa?,biaya,tarif cek kimia klinik
"tarif pemeriksaan kolestrol, gula darah berapa kira kira",biaya,tarif cek kimia klinik
tarif buat lab periksa asam urat berapa ya,biaya,tarif cek kimia klinik
bayar berapa buat cek lab gula darah,biaya,tarif cek kimia klinik
pemeriksaan kolestrol tarinya berapa,biaya,tarif cek kimia klinik
tarif buat pemeriksaan lab asam urat kolesterol berapa,biaya,tarif cek kimia klinik
bisa tes HIV gak ya di puskesmas,lab,cek hiv
melayani pasien tes HIV tidak?,lab,cek hiv
di lab puskesmas melayani pemeriksaan HIV?,lab,cek hiv
tes HIV/AIDS di lab bisa?,lab,cek hiv
cek HIV gitu bisa gak yaa,lab,cek hiv
kalo mau tes hiv di puskesmas bisa?,lab,cek hiv
di lab bisa cek HIV,lab,cek hiv
cek HIV gitu di lab kan ya,lab,cek hiv
bisa cek HIV,lab,cek hiv
cek penyakit PMS di lab puskesmas keputih bisa?,lab,cek hiv
Tes hiv bisa apa tidak di puskesmas keputih,lab,cek hiv
melayani cek penyakit semacam hiv sifilis gitu gak di puskesmas?,lab,cek hiv
bisa cek lab buat penyakit HIV?,lab,cek hiv
tes urin buat cek kehamilan bisa di puskesmas?,lab,cek urine
pemeriksaan tes urin di puskesmas keputih bisa?,lab,cek urine
check urin kehamilan di puskesmas bisa,lab,cek urine
melayani tes urine di lab,lab,cek urine
apa bisa tes urin di lab puskesmas,lab,cek urine
tes urin di puskesmas boleh?,lab,cek urine
tes urine buat cek kehamilan bisa di puskesmas?,lab,cek urine
pemeriksaan tes urine di puskesmas keputih bisa?,lab,cek urine
di lab puskesmas melayani tes urine buat kehamilan?,lab,cek urine
mau tes urin di laboratorium puskesmas bisa?,lab,cek urine
melayani tes urine gak?,lab,cek urine
tes urine di puskesmas bayar gak,biaya,tarif cek urine
tes urin buat kehamilan gratis apa bayar,biaya,tarif cek urine
pemeriksaan kehamilan di puskesmas bayar berapa,biaya,tarif cek urine
tes kehamilan bayarnya berapa,biaya,tarif cek urine
tes urin lengkap tarifnya berapa,biaya,tarif cek urine
harga pemeriksaan urine di lab berapa ya,biaya,tarif cek urine
cek urin di laboratorium bayar berapa kira kira,biaya,tarif cek urine
biaya pemeriksaan urine berapa,biaya,tarif cek urine
pemeriksaan urine di puskesmas gratis apa bayar?,biaya,tarif cek urine
plano test bayar berapa,biaya,tarif cek urine
Kalo mau tes golongan darah di puskesmas itu bayar atau gratis?,lab,cek goldar
cek goldar gitu di lab puskesmas ya?,lab,cek goldar
mau tau golongan darah kita gitu bisa dicek di lab puskesmas?,lab,cek goldar
cek goldar bisa?,lab,cek goldar
tes golongan darah gitu bener di lab kan ya?,lab,cek goldar
mau cek goldar di puskesmas bisa tidak ya,lab,cek goldar
apa melayani cek goldar?,lab,cek goldar
melayani cek golongan darah gak?,lab,cek goldar
bisa periksa diabetes?,layanan,diabet
pemeriksaan diabetes atau gula darah bisa?,layanan,diabet
Melayani pengobatan buat pasien diabet apa tidak,layanan,diabet
di puskesmas ada poli diabet ya,layanan,diabet
kalo pemeriksaan pasien diabetes di poli apa?,layanan,diabet
melayani pemeriksaan pasien diabetes?,layanan,diabet
mau konsultasi buat masalah penyakit diabet bisa?,layanan,diabet
pemeriksaan pasien diabetes mellitus di poli diabet ya?,layanan,diabet
buat pemeriksaan diabetes gimana?,layanan,diabet
mau cek kesehatan pasien diabet,layanan,diabet
kontrol pasien diabetes di puskesmas bisa ya?,layanan,diabet
ada melayani konsul pasien diabetes?,layanan,diabet
Bisa kontrol kesehatan lansia?,layanan,lansia
check up buat lansia,layanan,lansia
medical cek up lansia bisa di puskesmas,layanan,lansia
cek kesehatan buat lansia di puskesmas?,layanan,lansia
mau konsul kesehatan lansia di puskesmas bisa ya?,layanan,lansia
pemeriksaan pasien lansia ada poli khususnya kan?,layanan,lansia
mau cek kesehatan lansia bagaimana caranya?,layanan,lansia
Checkup kesehatan lansia bisa ya di puskesmas,layanan,lansia
medical check up buat orang lanjut usia bisa di puskesmas,layanan,lansia
pemeriksaan kesehatan buat lansia ada di puskesmas?,layanan,lansia
Ada pelayanan buat cek kesehatan lansia di puskesmas,layanan,lansia
Ada pelayanan buat lansia?,layanan,lansia
Cek kesehatan rutin buat lansia,layanan,lansia
Apakah bisa konsultasi gizi balita?,layanan,gizi
poli gizi di puskesmas keputih melayani apa saja?,layanan,gizi
di poli gizi bisa konsul gizi ibu hamil?,layanan,gizi
melayani konsultasi dengan ahli gizi di puskesmas?,layanan,gizi
melayani konsultasi gizi bayi dan ibu menyusui?,layanan,gizi
melayani konsultasi buat gizi balita?,layanan,gizi
bisa bertemu dengan ahli gizi di puskesmas keputih?,layanan,gizi
ada ahli gizinya tidak ya di puskesmas?,layanan,gizi
mau konsul gizi bayi,layanan,gizi
kalau mau konsultasi gizi anak di puskesmas bisa?,layanan,gizi
JKS itu apa?,asuransi,jks
apa itu jks?,asuransi,jks
jks itu kyk bpjs gitu kah?,asuransi,jks
jks itu gimana maksudnya?,asuransi,jks
jks apaan yaa,asuransi,jks
jks itu asuransi kesehatan semacam bpjs?,asuransi,jks
jks tuh kayak apa ya,asuransi,jks
jks buat apa?,asuransi,jks
JKS yg seperti apa sih?,asuransi,jks
"Baru tau ada JKS, apa itu?",asuransi,jks
Bagaimana bila sudah punya BPJS Mandiri? Apakah bisa memanfaatkan program JKS ini?,asuransi,jks bpjs
kalo sudah pakai bpjs apa harus boleh daftar jks?,asuransi,jks bpjs
yg udah daftar bpjs bisa daftar jks?,asuransi,jks bpjs
yg udah punya bpjs mandiri boleh daftar ke program JKS?,asuransi,jks bpjs
klo dah ada bpjs boleh migrasi ke JKS?,asuransi,jks bpjs
boleh daftar JKS kalo dah punya bpjs,asuransi,jks bpjs
JKS boleh dimanfaatkan sama yang sudah punya bpjs atau tidak?,asuransi,jks bpjs
sudah punya BPJS boleh daftar JKS?,asuransi,jks bpjs
JKS buat yg belum punya bpjs aja ya?,asuransi,jks bpjs
kalo mau ikut program JKS tapi sudah punya BPJS apa boleh?,asuransi,jks bpjs
Mau mengikuti program JKS yang ditanggung pemkot surabaya itu tp sudah ada bpjs apa boleh,asuransi,jks bpjs
Sudah punya BPJS tidak boleh ikut program JKS?,asuransi,jks bpjs
Daftar JKS tapi sudah ada BPJS bisa apa tidak,asuransi,jks bpjs
JKS hanya untuk yang belum ada BPJS ya?,asuransi,jks bpjs
diperbolehkan ganti ke JKS gak dari BPJS?,asuransi,jks bpjs
Bagaimana cara melakukan pendaftaran atau migrasi ke program JKS,asuransi,migrasi jks
cara daftar ke program jks gimana,asuransi,migrasi jks
migrasi dari bpjs ke jks gimana?,asuransi,migrasi jks
gimana caranya kalo mau pakai jks tapi sudah punya bpjs,asuransi,migrasi jks
daftar jks bagaimana,asuransi,migrasi jks
Daftar jks harus ke puskesmas?,asuransi,migrasi jks
mau daftar jks harus kemana ya?,asuransi,migrasi jks
pendaftaran buat program jks caranya bagaimana,asuransi,migrasi jks
langsung ke puskesmas buat daftar jks bisa?,asuransi,migrasi jks
jaminan jks daftarnya gimana,asuransi,migrasi jks
migrasi ke jks prosedurnya bagaimana?,asuransi,migrasi jks
Mendaftar program jks kalau sudah pakai bpjs bagaimana caranya,asuransi,migrasi jks
cara migrasi bpjs ke program jks bagaimana?,asuransi,migrasi jks
Bagaimana skema berobat jika sakit dengan program JKS ini? Apa bisa langsung ke rumah sakit?,asuransi,skema jks
Kalau pakai JKS alur pengobatanny beda gak sama bpjs,asuransi,skema jks
skema pelayanan berobat buat pengguna jks bagaimana?,asuransi,skema jks
kalau mau berobat pakai JKS prosedurnya bagaimana,asuransi,skema jks
berobat pakai JKS alurnya bagaimana,asuransi,skema jks
alur pelayanan buat pengguna JKS bagaimana,asuransi,skema jks
alur pengobatan dengan JKS bagaimana ya,asuransi,skema jks
Bagaimana alur pengobatan dengan JKS?,asuransi,skema jks
JKS bisa digunakan buat berobat di puskesmas?,asuransi,skema jks
mau berobat ke puskesmas pakai jks bisa?,asuransi,skema jks
kalau mau berobat langsung ke rs pakai JKS apa boleh?,asuransi,skema jks
puskesmas melayani pasien pengguna program JKS tidak ya?,asuransi,skema jks
bisa melayani pasien pengguna JKS,asuransi,skema jks
JKS berlaku di dalam kota saja atau juga di luar kota?,asuransi,berlaku jks
JKS berlaku di luar kota gak,asuransi,berlaku jks
JKS Cuma bisa dipakai di surabaya aja ya?,asuransi,berlaku jks
pakai jks buat berobat di luar kota bisa apa tidak?,asuransi,berlaku jks
Kalau lagi di luar kota boleh pakai JKS?,asuransi,berlaku jks
mau periksa pakai jks tapi posisi lagi di luar kota sby apa bisa dipakai?,asuransi,berlaku jks
tetep bisa dipakai ya jks di luar surabaya,asuransi,berlaku jks
Cuma berlaku di surabaya kah program jks?,asuransi,berlaku jks
hanya bisa dipakai buat pengobatan di kota surabaya?,asuransi,berlaku jks
apa boleh pakai JKS di luar surabaya?,asuransi,berlaku jks
JKS hanya bisa digunakan di surabaya?,asuransi,berlaku jks
Boleh dipakai di luar surabaya apa gak?,asuransi,berlaku jks
Saya ikut program jks tp mau berobat di luar kota itu bisa dipakai tidak ya?,asuransi,berlaku jks
Berlakunya hanya buat berobat di surabaya saja,asuransi,berlaku jks
saya lagi di luar kota terus mau berobat pakai jks bisa apa tidak,asuransi,berlaku jks
Apa hanya berlaku di dalam kota JKS ini?,asuransi,berlaku jks
bisa digunakan untuk berobat di luar surabaya?,asuransi,berlaku jks
Apakah program JKS ini hanya dikhususkan bagi warga Surabaya yang kurang mampu,asuransi,sasaran jks
program JKS Cuma buat warga surabaya saja ya?,asuransi,sasaran jks
JKS KTP luar kota surabaya bisa?,asuransi,sasaran jks
kalau mau daftar JKS harus ber-ktp surabaya?,asuransi,sasaran jks
JKS hanya buat warga kurang mampu aja?,asuransi,sasaran jks
yang bisa daftar jks Cuma warga kurang mampu aja ya?,asuransi,sasaran jks
siapa yg boleh daftar program JKS,asuransi,sasaran jks
semua boleh daftar JKS apa tidak?,asuransi,sasaran jks
jks ini bisa dimanfaatkan sama siapa saja?,asuransi,sasaran jks
jks apa khusus buat warga kurang mampu ya?,asuransi,sasaran jks
bisa rawat inap di puskesmas keputih?,layanan,rawat inap
melayani rawat inap di puskesmas,layanan,rawat inap
bisa rawat inap?,layanan,rawat inap
rawat inap persalinan bisa di puskesmas?,layanan,rawat inap
rawat inap di puskesmas bisa?,layanan,rawat inap
puskesmas keputih bisa rawat inap tidak ya?,layanan,rawat inap
melayani rawat inap?,layanan,rawat inap
puskesmas melayani rawat inap?,layanan,rawat inap
Rawat inap di puskesmas keputih bisa atau tidak?,layanan,rawat inap
melayani rawat inap gak,layanan,rawat inap
Melayani rawat inap apa Cuma rawat jalan aja?,layanan,rawat inap
Terima pasien rawat inap apa tidak di puskesmas,layanan,rawat inap
kalau sakit minta rawat inap di puskesmas bisa?,layanan,rawat inap
rawat inap Cuma pasien persalinan aja ya di puskesmas?,layanan,rawat inap
ada pelayanan buat rawat inap di puskesmas keputih?,layanan,rawat inap
Melayani buat rawat inap pasien apa tidak?,layanan,rawat inap
di medokan semampir melayani apa saja?,layanan,pustu medokan
puskesmas yg di medokan semampir melayani apa saja,layanan,pustu medokan
periksa di puskesmas medokan semampir bisa?,layanan,pustu medokan
pustu medokan semampir melayani apa aja?,layanan,pustu medokan
pustu medokan melayani apa saja?,layanan,pustu medokan
poskes medokan semampir melayani apa saja,layanan,pustu medokan
konsul di medokan semampir apakah bisa?,layanan,pustu medokan
imunisasi di poskes medokan semampir bisa?,layanan,pustu medokan
melayani pengobatan tidak ya di medokan semampir?,layanan,pustu medokan
bisa melakukan pemeriksaan di pustu medokan semampir?,layanan,pustu medokan
apa bisa konsul kesehatan di poskes medokan semampir,layanan,pustu medokan
Pustu yg di medokan semampir itu melayani apa aja,layanan,pustu medokan
bisa ketemu dokter gak di medokan semampir,layanan,pustu medokan
konsultasi sama bidan atau dokter di medokan semampir bisa apa tidak,layanan,pustu medokan
pelayanan di pustu medokan apa saja,layanan,pustu medokan
mau tanya apakah vaksin di pkm keputih setiap hari ada atau hari tertentu saja?,covid19,vaksin covid19
kalau KTP luar Surabaya apakah bisa di vaksin booster 2?,covid19,vaksin covid19
masih melayani vaksin covid19?,covid19,vaksin covid19
masih bisa vaksin booster?,covid19,vaksin covid19
Ada vaksin booster 3?,covid19,vaksin covid19
masih bisa vaksin covid di puskesmas?,covid19,vaksin covid19
vaksin booster masih ada?,covid19,vaksin covid19
kalo mau vaksin booster bisa langsung ke puskesmas?,covid19,vaksin covid19
masih bisa booster?,covid19,vaksin covid19
vaksin covid masih?,covid19,vaksin covid19
vaksin dosis 2 masih tersedia?,covid19,vaksin covid19
mau vaksin corona masih ada?,covid19,vaksin covid19
bisa vaksin covid di puskesmas?,covid19,vaksin covid19
vaksinasi covid 19 masih tersedia,covid19,vaksin covid19
mau vaksinasi covid di puskesmas masih bisa?,covid19,vaksin covid19
vaksin buat korona masih ada gak?,covid19,vaksin covid19
masih ada vaksinasi covid 19?,covid19,vaksin covid19
vaksin covid di puskesmas masih?,covid19,vaksin covid19
apa masih bisa vaksin booster di pukesmas?,covid19,vaksin covid19
Apa ada vaksin anak sinovac dosis 2?,covid19,vaksin covid19 anak
ada vaksin covid buat anak2,covid19,vaksin covid19 anak
bisa vaksinasi covid buat anak?,covid19,vaksin covid19 anak
vaksin booster buat anak bisa?,covid19,vaksin covid19 anak
vaksinasi covid buat anak ada atau tidak,covid19,vaksin covid19 anak
melayani vaksin covid buat anak?,covid19,vaksin covid19 anak
puskesmas ada vaksinasi covid 19 buat anak?,covid19,vaksin covid19 anak
melayani vaksin korona untuk anak2?,covid19,vaksin covid19 anak
anak-anak perlu divaksin covid gak ya? Di puskesmas bisa?,covid19,vaksin covid19 anak
vaksin korona buat yang dibawah 18 tahun ada?,covid19,vaksin covid19 anak
vaksinasi covid 19 buat yg dibawah 18 tahun masih bisa?,covid19,vaksin covid19 anak
vaksin korona untuk anak bisa di puskesmas?,covid19,vaksin covid19 anak
vaksinasi covid19 untuk anak ada atau tidak,covid19,vaksin covid19 anak
Puskesmas Keputih melayani tes swab?,covid19,swab
kalau mau antigen tuh biasanya di puskesmas bisa gk ya? ,covid19,swab
bisa tes swab covid ?,covid19,swab
bisa antigen pasien covid 19,covid19,swab
melayani pemeriksaan pasien covid gak?,covid19,swab
tes covid bisa?,covid19,swab
swab tes korona bisa?,covid19,swab
apa melayani tes covid 19?,covid19,swab
kalau mau tes swab covid bisa?,covid19,swab
bisa tes antigen di puskesmas?,covid19,swab
melayani tes swab korona?,covid19,swab
terima kasih,greets,closing
trimakasih,greets,closing
trims,greets,closing
bye,greets,closing
ok bye,greets,closing
makasi,greets,closing
makasih,greets,closing
terimakasih,greets,closing
oke makasih ya,greets,closing
